=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.24 21:52:20 =~=~=~=~=~=~=~=~=~=~=~=
X: 18.2, Y: 29.13
X: 18.3, Y: 29.13
X: 18.4, Y: 29.05
X: 18.5, Y: 29.29
X: 18.6, Y: 29.21
X: 18.7, Y: 29.29
X: 18.8, Y: 29.29
X: 18.9, Y: 29.29
X: 19.0, Y: 29.37
X: 19.1, Y: 29.44
X: 19.2, Y: 29.44
X: 19.3, Y: 29.37
X: 19.4, Y: 29.52
X: 19.5, Y: 29.52
X: 19.6, Y: 29.60
X: 19.7, Y: 29.52
X: 19.8, Y: 29.68
X: 19.9, Y: 29.68
X: 20.0, Y: 29.68
X: 20.1, Y: 29.68
X: 20.2, Y: 29.68
X: 20.3, Y: 29.76
X: 20.4, Y: 29.76
X: 20.5, Y: 29.84
X: 20.6, Y: 29.84
X: 20.7, Y: 29.92
X: 20.8, Y: 29.92
X: 20.9, Y: 30.00
X: 21.0, Y: 30.00
X: 21.1, Y: 30.00
X: 21.2, Y: 30.00
X: 21.3, Y: 30.08
X: 21.4, Y: 30.16
X: 21.5, Y: 30.08
X: 21.6, Y: 30.24
X: 21.7, Y: 30.24
X: 21.8, Y: 30.24
X: 21.9, Y: 30.24
X: 22.0, Y: 30.24
X: 22.1, Y: 30.32
X: 22.2, Y: 30.32
X: 22.3, Y: 30.32
X: 22.4, Y: 30.40
X: 22.5, Y: 30.40
X: 22.6, Y: 30.56
X: 22.7, Y: 30.48
X: 22.8, Y: 30.63
X: 22.9, Y: 30.63
X: 23.0, Y: 30.56
X: 23.1, Y: 30.63
X: 23.2, Y: 30.56
X: 23.3, Y: 30.71
X: 23.4, Y: 30.79
X: 23.5, Y: 30.79
X: 23.6, Y: 30.79
X: 23.7, Y: 30.87
X: 23.8, Y: 30.87
X: 23.9, Y: 30.87
X: 24.0, Y: 30.95
X: 24.1, Y: 30.87
X: 24.2, Y: 31.03
X: 24.3, Y: 31.03
X: 24.4, Y: 31.03
X: 24.5, Y: 30.95
X: 24.6, Y: 31.19
X: 24.7, Y: 31.19
X: 24.8, Y: 31.19
X: 24.9, Y: 31.19
X: 25.0, Y: 31.19
X: 25.1, Y: 31.27
X: 25.2, Y: 31.35
X: 25.3, Y: 31.35
X: 25.4, Y: 31.35
X: 25.5, Y: 31.43
X: 25.6, Y: 31.51
X: 25.7, Y: 31.51
X: 25.8, Y: 31.51
