=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.30 17:00:42 =~=~=~=~=~=~=~=~=~=~=~=
X: 0.1, Y: 0.00
, Control Effort: 0.00
X: 0.2, Y: 33.02
, Control Effort: 1.00
X: 0.3, Y: 33.33
, Control Effort: 1.00
X: 0.4, Y: 33.33
, Control Effort: 1.00
X: 0.5, Y: 33.33
, Control Effort: 1.00
X: 0.6, Y: 33.41
, Control Effort: 1.00
X: 0.7, Y: 33.41
, Control Effort: 1.00
X: 0.8, Y: 33.41
, Control Effort: 1.00
X: 0.9, Y: 33.49
, Control Effort: 1.00
X: 1.0, Y: 33.49
, Control Effort: 1.00
X: 1.1, Y: 33.49
, Control Effort: 1.00
X: 1.2, Y: 33.49
, Control Effort: 1.00
X: 1.3, Y: 33.49
, Control Effort: 1.00
X: 1.4, Y: 33.49
, Control Effort: 1.00
X: 1.5, Y: 33.57
, Control Effort: 1.00
X: 1.6, Y: 33.57
, Control Effort: 1.00
X: 1.7, Y: 33.57
, Control Effort: 1.00
X: 1.8, Y: 33.57
, Control Effort: 1.00
X: 1.9, Y: 33.57
, Control Effort: 1.00
X: 2.0, Y: 33.65
, Control Effort: 1.00
X: 2.1, Y: 33.65
, Control Effort: 1.00
X: 2.2, Y: 33.65
, Control Effort: 1.00
X: 2.3, Y: 33.73
, Control Effort: 1.00
X: 2.4, Y: 33.65
, Control Effort: 1.00
X: 2.5, Y: 33.73
, Control Effort: 1.00
X: 2.6, Y: 33.73
, Control Effort: 1.00
X: 2.7, Y: 33.73
, Control Effort: 1.00
X: 2.8, Y: 33.73
, Control Effort: 1.00
X: 2.9, Y: 33.81
, Control Effort: 1.00
X: 3.0, Y: 33.81
, Control Effort: 1.00
X: 3.1, Y: 33.81
, Control Effort: 1.00
X: 3.2, Y: 33.89
, Control Effort: 1.00
X: 3.3, Y: 33.97
, Control Effort: 1.00
X: 3.4, Y: 33.97
, Control Effort: 1.00
X: 3.5, Y: 33.89
, Control Effort: 1.00
X: 3.6, Y: 33.97
, Control Effort: 1.00
X: 3.7, Y: 33.97
, Control Effort: 1.00
X: 3.8, Y: 34.05
, Control Effort: 1.00
X: 3.9, Y: 34.05
, Control Effort: 1.00
X: 4.0, Y: 34.13
, Control Effort: 1.00
X: 4.1, Y: 34.13
, Control Effort: 1.00
X: 4.2, Y: 34.13
, Control Effort: 1.00
X: 4.3, Y: 34.13
, Control Effort: 1.00
X: 4.4, Y: 34.21
, Control Effort: 1.00
X: 4.5, Y: 34.29
, Control Effort: 1.00
X: 4.6, Y: 34.29
, Control Effort: 1.00
X: 4.7, Y: 34.21
, Control Effort: 1.00
